rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,train/loss,train/n_updates,train/learning_rate
0.25,4,141.25,1768,0.9987536,1312,0,,,
1.25,8,184.125,2120,0.9980544,2048,0,,,
1.25,12,182.91666666666666,2418,0.9971728,2976,1,,,
1.25,16,185.625,2674,0.9959947999999998,4216,1,,,
1.55,20,196.95,2746,0.9954248000000003,4816,1,,,
1.625,24,199.875,2802,0.9948851999999996,5384,1,,,
1.5,28,194.71428571428572,2867,0.9941935999999997,6112,2,,,
1.5,32,192.8125,2928,0.9934183999999995,6928,2,,,
1.3888888888888888,36,189.19444444444446,2958,0.9928711999999996,7504,2,,,
1.4,40,190.3,3014,0.9919135999999995,8512,2,,,
1.4318181818181819,44,191.61363636363637,3033,0.9914043999999996,9048,2,,,
1.3333333333333333,48,187.5,3052,0.9908571999999998,9624,3,,,
1.2884615384615385,52,185.44230769230768,3072,0.9902568000000004,10256,3,,,
1.2678571428571428,56,184.92857142857142,3084,0.9897704,10768,3,,,
1.2166666666666666,60,183.06666666666666,3122,0.9887140000000003,11880,3,,,
1.28125,64,185.046875,3131,0.9882123999999997,12408,3,,,
1.2794117647058822,68,184.83823529411765,3150,0.9874447999999997,13216,4,,,
1.2916666666666667,72,186.51388888888889,3168,0.9866467999999999,14056,4,,,
1.2236842105263157,76,183.8815789473684,3177,0.9860843999999995,14648,4,,,
1.225,80,184.9375,3191,0.9853471999999995,15424,4,,,
1.2023809523809523,84,184.38095238095238,3201,0.9846708000000001,16136,5,,,
1.2159090909090908,88,184.8181818181818,3215,0.9837739999999996,17080,5,,,
1.2282608695652173,92,185.55434782608697,3224,0.9830747999999996,17816,5,,,
1.2604166666666667,96,186.60416666666666,3231,0.9823907999999999,18536,5,,,
1.25,100,185.99,3239,0.9817144000000004,19248,5,,,
1.29,104,187.83,3244,0.9811291999999995,19864,6,,,
1.25,108,186.59,3257,0.9801791999999996,20864,6,,,
1.22,112,185.83,3252,0.9799892000000004,21064,6,,,
1.2,116,184.86,3265,0.9789707999999997,22136,6,,,
1.14,120,182.42,3268,0.9783780000000005,22760,6,,,
1.08,124,180.04,3276,0.9775799999999997,23600,7,,,
1.1,128,180.55,3273,0.9773215999999997,23872,7,,,
1.08,132,180.54,3283,0.9763488000000002,24896,7,,,
